key,my,sigma,ordinal
frc2097,23.039245491359562,2.825286721449796,14.563385327010174
frc2098,26.21528936803858,8.194286448709178,1.6324300219110448
frc2099,19.309033319850066,7.10725337185397,-2.012726795711842
frc2100,19.223060971971716,5.679339598866284,2.185042175372864
frc2102,30.44737318271447,1.4465096933042882,26.107844102801604
frc2103,22.39452865281456,5.330829065656383,6.402041455845412
frc2104,23.76941034627474,3.486796266613589,13.309021546433971
frc2105,24.025244004166378,6.7578443172521565,3.7517110524099095
frc2106,27.66567379991274,1.6798209761627847,22.626210871424384
frc2107,19.12821631678138,2.9703685385603666,10.21711070110028
frc2108,25.187871728336628,3.665740637188579,14.190649816770891
frc2109,18.375263280450365,7.063520590591088,-2.8152984913228956
frc2110,19.09987671676844,6.215264035895499,0.45408460908194215
frc2111,32.44328294585592,6.592738288140059,12.665068081435741
frc2112,24.246959660713554,5.256496305964096,8.477470742821264
frc2115,21.165764984770487,3.391578857241953,10.991028413044628
frc2116,23.444505296504786,5.701304416746078,6.340592046266551
frc2117,27.212179379375822,8.134847400424123,2.8076371781034517
frc2119,27.360726254820815,4.547656877285225,13.71775562296514
frc2120,17.704845938203917,6.369226891682871,-1.4028347368446958
frc2121,20.440799454859228,4.069359818836255,8.232719998350461
frc2122,38.64553157235505,1.2680674995303456,34.84132907376401
frc2124,18.514189300654444,4.952976443706418,3.655259969535191
frc2125,16.9077356874154,6.219585828125733,-1.7510217969617976
frc2126,24.640645282672445,6.165507690956057,6.144122209804273
frc2127,16.144886413717067,5.769384366736044,-1.1632666864910632
frc2128,22.750755753090946,4.110627138569965,10.41887433738105
frc2129,22.888204659740047,2.436753756091818,15.577943391464594
frc2130,31.690257695577127,1.9746806794920677,25.766215657100922
frc2132,16.129744873726246,6.360353692151559,-2.9513162027284316
frc2133,30.02722493949043,6.132057008996095,11.631053912502146
frc2134,25.232410505560217,3.7415558388182495,14.00774298910547
frc2135,28.136730157598677,1.7476563278984176,22.893761173903425
frc2136,18.879575362868543,2.950514205351955,10.028032746812677
frc2137,31.52536459599047,1.1547629739730232,28.0610756740714
frc2139,19.60527205916479,4.750456907050389,5.353901338013621
frc2140,18.960002039185937,6.144580642942564,0.5262601103582476
frc2141,26.744872387468273,2.2458577096174492,20.007299258615927
frc2142,22.211097938560314,7.240654714835393,0.48913379405413693
frc2143,26.05919196503575,2.7498049989083375,17.80977696831074
frc2144,26.885216507714706,1.7647711511256292,21.59090305433782
frc2145,28.052685240432897,1.3926100050100039,23.874855225402886
frc2147,31.623296043730623,1.287176035780209,27.761767936389994
frc2148,22.328195869979016,1.9847688571075568,16.373889298656344
frc2149,22.99293306357771,2.0448535438217106,16.858372432112578
frc2150,26.939576995351533,5.201188648202268,11.33601105074473
frc2151,18.772912753068265,2.607977066354335,10.948981554005261
frc2152,31.17598713391418,1.9584259739165029,25.300709212164673
frc2153,18.279695387060166,3.2515579341521144,8.525021584603822
frc2154,22.362966987499544,5.88936227671882,4.694880157343086
frc2156,20.78475871433315,3.2574653034940533,11.01236280385099
frc2157,24.433967743460908,5.496009815254131,7.945938297698515
frc2158,28.62855096613662,1.6419329357637968,23.70275215884523
frc2159,27.900382603034878,3.5887657349019277,17.134085398329095
frc2161,21.408210635104457,2.190832823104686,14.835712165790397
frc2162,21.05455961333715,6.896876315157163,0.3639306678656631
frc2163,20.544248466718525,3.475701413779732,10.117144225379327
frc2164,26.48158964012211,1.8367439618063408,20.971357754703085
frc2165,30.525793653094848,2.2434649677838476,23.795398749743306
frc2166,25.83279560530586,3.1391336578256395,16.415394631828942
frc2167,21.72774532980397,3.043615239241261,12.596899612080186
frc2168,37.64696289448491,1.1383722900851447,34.231846024229476
frc2169,30.890137876713926,1.4890868982356567,26.422877182006957
frc2170,25.153785700249692,1.56329471008647,20.463901569990284
frc2171,23.992066967650825,1.54043907679595,19.370749737262976
frc2172,24.369645681920918,1.866201474764466,18.77104125762752
frc2173,20.00667390451142,4.187938662224084,7.4428579178391665
frc2174,20.564677104190743,4.46772842067202,7.161491842174684
frc2175,29.942035977820428,1.6906180427778739,24.870181849486805
frc2176,22.728048839315527,5.857832061084941,5.154552656060705
frc2177,26.79864237967482,1.7495149881369372,21.55009741526401
