frc1,mu=26.605077047223393, sigma=1.2036281371258928)
frc118,mu=41.095472517592796, sigma=0.8896490834923014)
frc120,mu=27.12310536930014, sigma=1.3410447782330994)
frc121,mu=29.14672908595366, sigma=1.1993053458818066)
frc122,mu=27.641578858135187, sigma=1.17588244790073)
frc123,mu=27.220916853583738, sigma=1.1114577972046904)
frc124,mu=28.34247749221104, sigma=7.759770324690275)
frc125,mu=35.68425563511095, sigma=0.8520367555129685)
frc126,mu=30.0217530027109, sigma=0.9808089762818112)
frc127,mu=25.0, sigma=8.333333333333334)
frc128,mu=27.99080751713159, sigma=1.6124065537813719)
frc130,mu=25.0, sigma=8.333333333333334)
frc131,mu=35.652300246320266, sigma=0.9682161866638611)
frc132,mu=26.964185503295965, sigma=8.17755635771097)
frc133,mu=37.21761875260234, sigma=1.0430332900003927)
